,SK_ID_CURR
141882,264510
243920,382358
146143,269448
228623,364804
223213,358542
15143,117687
14362,116753
27317,131746
154332,278870
149299,273096
146591,269967
259014,399746
72740,184352
267077,409440
160780,286381
164276,290434
115334,233749
19111,122296
277782,421832
214976,349102
143663,266583
183328,312491
85234,198892
165599,291970
6741,107868
15992,118661
23609,127475
51217,159306
159172,284527
162286,288142
192113,322772
114943,233281
253391,393212
300102,447666
197170,328608
252911,392650
146937,270356
290905,437003
94322,209521
99873,215945
189642,319882
204938,337574
208774,341975
6879,108019
8541,109943
22877,126622
287734,433297
215834,350092
194168,325143
120588,239820
266678,408950
249973,389228
118977,237961
94241,209429
104962,221799
175092,302898
178559,306913
269671,412522
217874,352430
259282,400066
72315,183864
294439,441118
292831,439242
96046,211504
110767,228500
112623,230645
148098,271718
94189,209371
295726,442617
159667,285089
6427,107496
202521,334772
289457,435343
185990,315608
185249,314741
231412,368048
30347,135218
159262,284632
138055,260103
87515,201578
111579,229453
107744,225001
55426,164224
139727,262020
189864,320140
227067,363008
284342,429291
161258,286940
45188,152341
2422,102827
269997,412917
155956,280780
143393,266269
156303,281182
96589,212131
37131,143009
19496,122735
110301,227937
167135,293753
218319,352935
303843,452034
109489,226980
282726,427463
72969,184609
159518,284923
54699,163378
132791,254015
53964,162529
175341,303188
293506,440035
49756,157602
250113,389384
229018,365267
63083,173167
148886,272617
104524,221303
177516,305713
117489,236235
206265,339078
6182,107217
131520,252536
266524,408770
208862,342069
203983,336485
192909,323708
64970,175339
214986,349114
297451,444609
9178,110671
197832,329370
252337,391972
123708,243467
118723,237676
95510,210890
54886,163594
82512,195689
61374,171178
210904,344415
220413,355345
41619,148186
237252,374801
173674,301271
189554,319779
305177,453578
132427,253595
75666,187741
294547,441240
79713,192403
198838,330534
283141,427934
235473,372749
2391,102795
56178,165096
242992,381286
305941,454468
153756,278203
240847,378882
193314,324175
12197,114225
104494,221270
240755,378790
1606,101884
9488,111031
295398,442232
95441,210813
19451,122684
195256,326406
285069,430147
126574,246793
52693,161032
75830,187931
180444,309120
188252,318243
56754,165772
226687,362575
205569,338284
33988,139386
138463,260567
253005,392759
45032,152166
262783,404253
171410,298655
1123,101313
206118,338916
121856,241278
257834,398375
193092,323915
122513,242042
150597,274579
97760,213509
271273,414475
215325,349504
278524,422697
113821,232005
80495,193316
222931,358217
226707,362598
64930,175293
265420,407412
245681,384320
280590,425064
279526,423844
173321,300848
211304,344863
51491,159624
176901,304996
161328,287025
34403,139867
249578,388770
291156,437294
300323,447929
191122,321604
117941,236759
251813,391368
219307,354053
102524,219016
284339,429288
21348,124871
15246,117802
105895,222870
254888,394944
266058,408206
192715,323484
198276,329890
147385,270889
104254,220997
107717,224968
180860,309600
154316,278852
154379,278924
188820,318908
186516,316231
158535,283793
187093,316890
30032,134864
35055,140613
199976,331824
297605,444778
148911,272648
147754,271316
33072,138328
294636,441342
52296,160557
67689,178497
258221,398821
223505,358870
297678,444865
265743,407822
174247,301928
149803,273669
232825,369663
16020,118690
179458,307955
148766,272484
144563,267627
139569,261824
287376,432878
271314,414528
65366,175813
239361,377208
290817,436906
17238,120107
97423,213106
235330,372584
9558,111111
13383,115604
120743,239991
199785,331607
271197,414399
99041,214992
137085,258994
51481,159613
63186,173282
74162,186004
195552,326748
74023,185842
19096,122278
287705,433262
159204,284562
177871,306129
221497,356576
217444,351946
220679,355645
80707,193574
27836,132363
75884,188001
48249,155877
166325,292825
26607,130927
198037,329609
278782,422966
281883,426516
62945,173014
218490,353131
172039,299378
299899,447430
228885,365115
185021,314473
248667,387695
74865,186826
241100,379184
66728,177374
250786,390178
2096,102463
293080,439533
216277,350597
208460,341621
46553,153932
159749,285186
209433,342734
106479,223536
14659,117103
302500,450466
183072,312190
285287,430403
257445,397919
85507,199218
296428,443432
141596,264177
202427,334665
113804,231988
149263,273054
118281,237161
5127,105992
87592,201667
208912,342130
1155,101357
109821,227368
138484,260595
32052,137168
291661,437884
107600,224827
47249,154714
24757,128794
34222,139657
40288,146671
266461,408699
78060,190495
116601,235220
4538,105308
80415,193224
50092,157990
280055,424468
302807,450825
275876,419669
269627,412471
103283,219880
33229,138501
168512,295328
51012,159073
301031,448752
195421,326599
32308,137460
172858,300312
71766,183220
198868,330569
22973,126731
221502,356582
263326,404891
68402,179338
211651,345270
163767,289843
25231,129348
152191,276398
31869,136961
59496,168967
55755,164602
278735,422916
180495,309177
95087,210404
33482,138787
150199,274119
232273,369035
55956,164839
40903,147368
121163,240475
83104,196387
125156,245141
161841,287616
181954,310903
282888,427675
227836,363909
149387,273197
148104,271724
96320,211823
253350,393163
238151,375801
64243,174494
83601,196964
140339,262735
247144,385987
282326,426974
229204,365471
178617,306983
201596,333690
239757,377624
74463,186354
166844,293419
173306,300830
148847,272576
9171,110664
254381,394363
232988,369855
169439,296384
279552,423870
207408,340395
288436,434144
144519,267574
178248,306552
131453,252459
8930,110391
56466,165421
185647,315212
82654,195857
244863,383403
107662,224902
165430,291776
241483,379633
95731,211133
275554,419333
158507,283761
58184,167450
184156,313455
47977,155563
255861,396069
238991,376828
145090,268240
179631,308158
78703,191235
139077,261259
306339,454926
269344,412141
250246,389548
229415,365722
165751,292145
279864,424239
6681,107796
208953,342181
258692,399371
101996,218415
225721,361448
241353,379458
2466,102877
202812,335107
270837,413963
129517,250223
234883,372078
272736,416163
253437,393266
88277,202487
29893,134704
246382,385169
266339,408553
57750,166924
26146,130410
300298,447901
142933,265725
197298,328754
103458,220083
91287,206015
55569,164390
27616,132100
223901,359331
211086,344617
138088,260139
59716,169223
112514,230522
57544,166686
43914,150852
59199,168616
302092,449989
234134,371209
211318,344880
98318,214147
291293,437452
18618,121713
259394,400194
261017,402088
49935,157799
110780,228520
265942,408070
788,100902
226523,362390
83776,197163
133623,254977
41665,148242
160805,286410
141892,264520
26854,131211
226088,361864
217336,351815
17934,120907
96222,211708
